first_name,last_name,subject,phone_no,salary
Eudora,Edgington,Math,719-389-6847,2662.14
Tudor,Aglione,Science,217-909-2965,2188.65
Stevana,Usher,History,319-747-4908,2583.09
Linnell,Griffoen,Science,408-801-1131,1812.05
Haven,Gingold,History,312-487-4643,1368.42
Anallese,Flasby,Science,505-871-6317,2135.26
Margy,Piercey,Math,804-277-4619,2461.35
Isobel,McIllrick,Math,760-989-2469,1865.05
Emelia,Kimble,English,951-970-2982,4062.39
Lorry,Greenall,History,434-473-5832,3067.78
Janifer,Morch,English,915-467-0992,2384.06
Melly,Gornal,Science,301-130-1043,3885.29
Amabelle,Arnao,Science,719-895-4905,2639.02
Desirae,Bostick,English,336-108-9162,3769.57
Slade,Fishleigh,Art,757-716-6270,3115.10
Malanie,Kilby,English,208-381-4170,3179.51
Kris,Landy,English,520-540-7185,1806.82
Ximenes,Vreiberg,Math,814-947-0038,1076.89
Kendre,Purves,Math,318-453-6417,3631.01
Artemas,Garfath,History,901-639-0562,1440.43
Briant,Vanacci,English,904-664-1110,2355.23
Brigid,Fattore,Math,585-250-3698,1592.04
Ania,Cursey,Science,605-380-1770,4485.16
Friederike,Shinfield,Science,763-863-7256,1577.35
Danella,Cominotti,History,559-303-8828,4560.71
Easter,Denning,History,702-415-0916,2910.95
Coretta,Voss,Science,915-240-3643,3176.95
Maria,Kembry,Science,916-936-4443,2762.81
Sapphira,Lindsay,Science,720-612-7309,3656.00
Claire,Laverick,English,717-275-4258,4448.66
Quintilla,McQuaide,English,407-199-0621,4683.86
Joellen,Bettleson,Art,907-413-8277,2083.70
Mirabella,MacCosto,Art,804-619-7741,4718.29
Bliss,Simoneau,Art,816-550-3635,4535.21
Patricia,Calan,Art,850-233-4732,1900.19
Neall,Lifton,History,818-140-7424,2815.89
Helen,Oak,Science,952-703-4234,2278.42
Evaleen,Goulding,History,801-231-2386,1051.66
Kalie,Naptin,Science,512-194-1566,1809.34
Leeanne,Budnk,English,303-664-1243,1796.50
Kaitlynn,Brasted,History,940-544-2000,1310.05
Ingmar,McEvilly,Math,817-529-7564,1482.86
Elias,Bondley,History,765-765-9138,1954.60
Dalston,Ashness,History,314-276-7994,1520.50
Karil,Sivil,Math,215-962-3937,4684.29
Dru,Gamlin,Science,304-400-0544,2730.12
Guglielma,Joanic,Science,602-628-7224,3860.27
Maiga,Hegg,Art,202-652-0353,1961.54
Marys,Killock,Art,408-266-6657,4008.65
Glenn,Snawden,Science,202-355-6905,2336.26
Maitilde,Abbet,History,989-305-6922,2725.52
Maia,Tame,Science,918-105-3778,1333.38
Bonni,Ness,History,269-910-8103,1771.75
Caralie,Tripet,Math,401-328-2979,2940.06
Jarrod,Peepall,Art,951-718-8809,3162.96
Merralee,Kimmings,Math,404-964-6839,3973.87
John,Pollok,History,419-416-9010,1346.74
Kylynn,Ankers,Math,801-981-3873,4006.59
Killian,Witcomb,Math,559-700-4665,1421.56
Tiertza,Eadmead,English,210-672-5375,3657.70
Franciskus,Foli,Math,318-180-0994,2064.61
Nissie,Ouldred,History,518-815-1663,2757.77
Timmie,Ceely,History,281-825-2341,3486.29
Essie,Pawson,History,314-916-9921,3218.79
Lemmie,Courtonne,Science,901-592-6745,4418.44
Elmer,Stollenwerck,Math,860-176-3412,2866.03
Margie,Stovold,Math,509-779-4118,1364.64
Humberto,Takos,Art,530-654-4481,3144.48
Vince,Leap,English,405-670-1320,4595.94
Blair,Haibel,English,615-659-6124,4896.58
Gaile,Snodin,Math,505-421-5878,2793.92
Fonsie,Bodman,Math,954-417-0145,2673.18
Tove,McDonough,English,757-437-8514,1245.28
Theresina,Beveredge,English,630-747-5332,3021.12
Tabatha,Reinger,Science,915-160-9680,3952.86
Sanson,Cranny,Math,517-914-7940,4527.72
Sammie,Drake,History,516-606-4603,2971.79
Tybie,Meah,English,814-514-7780,3460.64
Dawn,Sturrock,Science,662-162-0731,4557.56
Darlene,Maciejak,English,410-840-3321,2704.32
Traci,Tuther,Science,202-177-6060,2086.00
Korrie,Hulburt,Science,952-240-4790,4559.48
Sisely,Witty,Math,909-197-3923,4632.52
Benjamin,Jirusek,Art,214-364-5092,2253.33
