id,first name,last name,age,dob,grade,school name,address.city,address.state,address.pincode,faculty.first name,faculty.last name,faculty.subject,faculty.phone number,faculty.salary
1,Erika,Kembry,13,4/24/2010,C,Vinder,Colorado Springs,Colorado,80935,Eudora,Edgington,Math,719-389-6847,$2662.14
2,Cherie,Leidl,6,12/14/2012,F,Fiveclub,Springfield,Illinois,62723,Tudor,Aglione,Science,217-909-2965,$2188.65
3,Conant,Faas,16,2/12/2018,B,Yodel,Cedar Rapids,Iowa,52405,Stevana,Usher,History,319-747-4908,$2583.09
4,Hildagard,Wiggam,8,12/2/2006,E,Skynoodle,San Jose,California,95138,Linnell,Griffoen,Science,408-801-1131,$1812.05
5,Owen,Krabbe,13,12/11/2013,C,Viva,Chicago,Illinois,60624,Haven,Gingold,History,312-487-4643,$1368.42
6,Jerrilee,O'Spillane,8,7/10/2008,E,Skinte,Albuquerque,New Mexico,87190,Anallese,Flasby,Science,505-871-6317,$2135.26
7,Yvette,Farnworth,8,4/8/2018,D,Twitterbeat,Richmond,Virginia,23293,Margy,Piercey,Math,804-277-4619,$2461.35
8,Uriel,Topliss,13,4/29/2015,C,Tazz,Escondido,California,92030,Isobel,McIllrick,Math,760-989-2469,$1865.05
9,Anastasia,Scannell,13,6/14/2016,F,Npath,Riverside,California,92519,Emelia,Kimble,English,951-970-2982,$4062.39
10,Morley,Haye,16,6/29/2009,E,Twitterbridge,Lynchburg,Virginia,24503,Lorry,Greenall,History,434-473-5832,$3067.78
11,Mattie,Atling,11,3/31/2016,D,Skilith,El Paso,Texas,79999,Janifer,Morch,English,915-467-0992,$2384.06
12,Rosamond,Stancliffe,9,3/22/2015,C,Buzzster,Annapolis,Maryland,21405,Melly,Gornal,Science,301-130-1043,$3885.29
13,Willabella,Sheber,7,4/3/2011,C,Brightbean,Colorado Springs,Colorado,80920,Amabelle,Arnao,Science,719-895-4905,$2639.02
14,Benny,Templeman,16,2/2/2010,F,Youopia,Winston Salem,North Carolina,27110,Desirae,Bostick,English,336-108-9162,$3769.57
15,Addison,Lockie,7,3/9/2006,E,Thoughtsphere,Norfolk,Virginia,23509,Slade,Fishleigh,Art,757-716-6270,$3115.10
16,Winnah,Sweetsur,9,1/20/2015,F,Meetz,Boise,Idaho,83757,Malanie,Kilby,English,208-381-4170,$3179.51
17,Maurizia,Beat,13,7/19/2010,C,Twitterlist,Tucson,Arizona,85748,Kris,Landy,English,520-540-7185,$1806.82
18,Thedrick,Diehn,12,12/14/2016,E,Devcast,Erie,Pennsylvania,16550,Ximenes,Vreiberg,Math,814-947-0038,$1076.89
19,Art,Vakhrushev,8,5/19/2014,B,Innotype,Alexandria,Louisiana,71307,Kendre,Purves,Math,318-453-6417,$3631.01
20,Kaja,Yabsley,10,10/21/2010,B,Vinder,Memphis,Tennessee,38143,Artemas,Garfath,History,901-639-0562,$1440.43
