id,first_name,last_name,age,dob,grade
1,Erika,Kembry,13,4/24/2010,C
2,Cherie,Leidl,6,12/14/2012,F
3,Conant,Faas,16,2/12/2018,B
4,Hildagard,Wiggam,8,12/2/2006,E
5,Owen,Krabbe,13,12/11/2013,C
6,Jerrilee,O'Spillane,8,7/10/2008,E
7,Yvette,Farnworth,8,4/8/2018,D
8,Uriel,Topliss,13,4/29/2015,C
9,Anastasia,Scannell,13,6/14/2016,F
10,Morley,Haye,16,6/29/2009,E
11,Mattie,Atling,11,3/31/2016,D
12,Rosamond,Stancliffe,9,3/22/2015,C
13,Willabella,Sheber,7,4/3/2011,C
14,Benny,Templeman,16,2/2/2010,F
15,Addison,Lockie,7,3/9/2006,E
16,Winnah,Sweetsur,9,1/20/2015,F
17,Maurizia,Beat,13,7/19/2010,C
18,Thedrick,Diehn,12,12/14/2016,E
19,Art,Vakhrushev,8,5/19/2014,B
20,Kaja,Yabsley,10,10/21/2010,B
21,Shanta,Sale,16,8/6/2006,F
22,Irvin,Brandin,18,4/16/2011,B
23,Natala,Kenvin,15,9/24/2006,A
24,Engracia,Stansby,14,2/7/2016,E
25,Tyrus,Pococke,17,1/12/2016,D
26,Sander,Minithorpe,9,9/22/2007,B
27,Guglielma,Demead,17,9/16/2007,F
28,Ganny,Grishechkin,9,5/19/2016,C
29,Yolane,Povlsen,17,2/7/2016,A
30,Nelli,Lindman,18,5/8/2014,D
31,Caria,Trimmell,10,5/3/2009,E
32,Waldemar,Woolforde,6,12/19/2017,D
33,Leeland,Grigolli,16,12/28/2009,B
34,Chandler,Edmondson,13,12/22/2010,D
35,Nomi,Higgonet,6,6/20/2014,C
36,Lelah,Corps,18,9/24/2016,F
37,Laurene,Scryne,13,1/12/2018,A
38,Camel,Cordobes,6,9/8/2008,F
39,Jeni,Adamowicz,8,3/3/2009,A
40,Silva,Brandt,18,3/11/2008,F
41,Melisande,Dwelly,15,2/10/2006,D
42,Ilysa,Nolot,8,9/20/2017,E
43,Janean,Giacubo,9,12/24/2017,C
44,Valerie,Sodo,8,9/22/2009,E
45,Immanuel,Vida,8,4/27/2017,A
46,Xymenes,Toseland,6,11/10/2011,C
47,Kristo,Evershed,9,9/25/2017,E
48,Bailey,Tilio,15,1/5/2015,E
49,Packston,Barenski,12,4/19/2016,D
50,Deane,Kopje,13,9/2/2013,C
51,Obie,Minster,10,8/17/2006,B
52,Shurlock,Sharp,8,6/4/2014,D
53,Franchot,Scirman,14,6/7/2009,B
54,Rolf,Plinck,8,1/13/2008,E
55,Aron,McCrow,10,2/8/2017,B
56,Kellie,Dunmore,10,3/5/2010,E
57,Dyanna,Messam,6,2/14/2018,E
58,Cameron,Olivi,15,5/4/2013,B
59,Fawne,Redwing,16,3/4/2013,B
60,Wyn,Gebhardt,9,7/22/2017,D
61,Reyna,Daffey,9,1/13/2015,A
62,Cortie,Spickett,6,12/11/2008,F
63,Liam,Bellany,12,3/8/2016,D
64,Rhea,Dudden,18,12/13/2015,F
65,Norrie,Mulvany,12,2/15/2011,B
66,Sully,Cuskery,6,3/4/2012,A
67,Gerrie,Kinvig,18,2/16/2006,E
68,Bailey,Bilton,17,3/27/2013,B
69,Olympe,Hubble,18,9/5/2010,C
70,Maegan,Bartalot,9,2/7/2014,A
71,Kerr,Wantling,11,4/29/2014,E
72,Thaddeus,Toolin,18,6/29/2018,F
73,Neel,Sommerling,16,6/11/2014,A
74,Barnaby,Olennikov,17,5/7/2008,D
75,Wright,Gallety,8,8/24/2011,D
76,Kimberli,Deverille,17,4/2/2017,B
77,Sisile,Lamminam,18,8/18/2013,B
78,Timi,Pavolini,13,10/7/2016,B
79,Anneliese,Hawkslee,10,7/30/2013,A
80,Jemmie,Scripture,11,7/6/2011,A
81,Mort,Nanni,17,5/21/2016,E
82,Claribel,Gisbourn,15,6/3/2017,C
83,Leeland,Satterthwaite,13,5/15/2010,E
84,Duffie,Gaenor,18,2/14/2007,A
85,Lorens,Rosle,12,4/25/2011,C
86,Sile,Camilio,12,6/15/2010,D
87,Jeramie,Deverall,9,6/14/2016,F
88,Judye,Paddingdon,17,7/17/2016,E
89,Lotti,Mitchely,7,7/8/2015,B
90,Tito,Coley,6,2/16/2018,F
91,Tito,Struss,6,6/25/2017,C
92,Shaw,Castree,15,11/16/2015,F
93,Aurora,Shill,12,7/10/2006,F
94,Karena,Eskrick,12,4/7/2013,A
95,Randee,Salterne,16,10/29/2012,E
96,Lisha,Youde,8,3/17/2016,E
97,Barry,Oakden,9,4/11/2017,E
98,Gerhardt,Switland,6,7/25/2014,E
99,Lanette,Bradshaw,12,5/8/2014,B
100,Theadora,Pettisall,6,9/4/2006,F
101,Glen,Wasbey,9,7/3/2009,E
102,Krishnah,Penke,6,5/24/2015,E
103,Iver,Kolczynski,9,4/23/2014,B
104,Katie,Mathevet,6,5/20/2017,F
105,Janelle,Bolding,6,7/3/2006,B
106,Cami,Pidgin,17,6/26/2017,B
107,Ellerey,Ankers,14,6/17/2011,E
108,Wilmar,Raoul,16,4/25/2016,B
109,Eddie,Duxfield,12,3/4/2013,B
110,Karlotte,Oattes,8,6/16/2013,F
111,Matty,Beining,7,6/9/2007,D
112,Clovis,Scholar,14,10/7/2012,A
113,Tyson,Lundon,16,9/13/2013,B
114,Bernice,Dignan,17,10/31/2013,A
115,Norton,Rieme,12,4/9/2018,D
116,Gabriel,McKeowon,18,11/3/2008,F
117,Raddie,Flewett,11,6/12/2006,E
118,Alano,Velez,9,2/26/2013,B
119,Gayleen,Stainsby,12,2/4/2006,B
120,Lynette,Darinton,7,7/1/2007,C
121,Selene,Thomasset,9,6/15/2009,F
122,Timofei,Hanington,7,10/29/2006,E
123,Daffie,Merkle,13,6/22/2016,B
124,Myra,Kezar,15,5/12/2009,D
125,Ellerey,Tockell,14,4/11/2006,F
126,Andrej,Hinrichs,12,12/23/2012,F
127,Claus,Castard,17,5/7/2009,E
128,Tedra,Semens,14,11/10/2010,E
129,Lonna,Coll,15,8/17/2008,F
130,Caro,Dallas,14,3/9/2013,E
131,Aloisia,Fidler,16,5/19/2010,E
132,Colas,Krzysztofiak,9,10/12/2011,F
133,Aloisia,Jentle,9,5/18/2018,D
134,Consalve,Bloxham,13,6/8/2018,F
135,Arlen,Tomkys,6,8/27/2016,F
136,Rasla,Sand,12,6/6/2017,A
